Player,,College,Year,NUMBER,PICK
Troy Murphy,Golden State Warriors,Notre Dame,2001,1,14
Steven Hunter,Orlando Magic,DePaul,2001,1,15
Kirk Haston,Charlotte Hornets,Indiana,2001,1,16
Michael Bradley,Toronto Raptors,Villanova,2001,1,17
Jason Collins,Houston Rockets,Stanford,2001,1,18
Zach Randolph,Portland Trail Blazers,Michigan State,2001,1,19
Brendan Haywood,Cleveland Cavaliers,North Carolina,2001,1,20
Joseph Forte,Boston Celtics,North Carolina,2001,1,21
Jeryl Sasser,Orlando Magic,Southern Methodist,2001,1,22
Brandon Armstrong,Houston Rockets,Pepperdine,2001,1,23
Raul Lopez,Utah Jazz,Real Madrid Baloncesto (Spain),2001,1,24
Gerald Wallace,Sacramento Kings,Alabama,2001,1,25
Samuel Dalembert,Philadelphia 76ers,Seton Hall,2001,1,26
Jamaal Tinsley,Memphis Grizzlies,Iowa State,2001,1,27
Tony Parker,San Antonio Spurs,Paris Basket Racing (France),2001,1,28
Trenton Hassell,Chicago Bulls,Austin Peay,2001,2,1
Gilbert Arenas,Golden State Warriors,Arizona,2001,2,2
Omar Cook,Orlando Magic,St. John's (NY),2001,2,3
Will Solomon,Memphis Grizzlies,Clemson,2001,2,4
Terence Morris,Atlanta Hawks,Maryland,2001,2,5
Brian Scalabrine,New Jersey Nets,Southern California,2001,2,6
Jeff Trepagnier,Cleveland Cavaliers,Southern California,2001,2,7
Damone Brown,Philadelphia 76ers,Syracuse,2001,2,8
Mehmet Okur,Detroit Pistons,Anadolu Efes S.K. (Turkey),2001,2,9
Michael Wright,New York Knicks,Arizona,2001,2,10
Earl Watson,Seattle SuperSonics,California-Los Angeles,2001,2,11
Jamison Brewer,Indiana Pacers,Auburn,2001,2,12
Bobby Simmons,Seattle SuperSonics,DePaul,2001,2,13
Eric Chenowith,New York Knicks,Kansas,2001,2,14
Kyle Hill,Dallas Mavericks,Eastern Illinois,2001,2,15
Sean Lampley,Chicago Bulls,California,2001,2,16
Loren Woods,Minnesota Timberwolves,Arizona,2001,2,17
Ousmane Cisse,Denver Nuggets,St. Jude Educational Institute,2001,2,18
Antonis Fotsis,Memphis Grizzlies,Panathinaikos B.C. (Greece),2001,2,19
Ken Johnson,Miami Heat,Ohio State,2001,2,20
Ruben Boumtje-Boumtje,Portland Trail Blazers,Georgetown,2001,2,21
Alton Ford,Phoenix Suns,Houston,2001,2,22
Andre Hutson,Milwaukee Bucks,Michigan State,2001,2,23
Jarron Collins,Utah Jazz,Stanford,2001,2,24
Kenny Satterfield,Dallas Mavericks,Cincinnati,2001,2,25
Maurice Jeffers,Sacramento Kings,Saint Louis,2001,2,26
Robertas Javtokas,San Antonio Spurs,BC Lietuvos rytas (Lithuania),2001,2,27
Alvin Jones,Philadelphia 76ers,Georgia Tech,2001,2,28
Bryan Bracey,San Antonio Spurs,Oregon,2001,2,29
Kenyon Martin,New Jersey Nets,Cincinnati,2000,1,1
Stromile Swift,Vancouver Grizzlies,Louisiana State,2000,1,2
Darius Miles,Los Angeles Clippers,East St. Louis,2000,1,3
Marcus Fizer,Chicago Bulls,Iowa State,2000,1,4
Mike Miller,Orlando Magic,Florida,2000,1,5
DerMarr Johnson,Atlanta Hawks,Cincinnati,2000,1,6
Chris Mihm,Chicago Bulls,Texas,2000,1,7
Jamal Crawford,Cleveland Cavaliers,Michigan,2000,1,8
Joel Przybilla,Houston Rockets,Minnesota,2000,1,9
Keyon Dooling,Orlando Magic,Missouri,2000,1,10
Jerome Moiso,Boston Celtics,California-Los Angeles,2000,1,11
Etan Thomas,Dallas Mavericks,Syracuse,2000,1,12
Courtney Alexander,Orlando Magic,Fresno State,2000,1,13
Mateen Cleaves,Detroit Pistons,Michigan State,2000,1,14
Jason Collier,Milwaukee Bucks,Georgia Tech,2000,1,15
Hedo Turkoglu,Sacramento Kings,Anadolu Efes S.K. (Turkey),2000,1,16
Desmond Mason,Seattle SuperSonics,Oklahoma State,2000,1,17
Quentin Richardson,Los Angeles Clippers,DePaul,2000,1,18
Jamaal Magloire,Charlotte Hornets,Kentucky,2000,1,19
Speedy Claxton,Philadelphia 76ers,Hofstra,2000,1,20
Morris Peterson,Toronto Raptors,Michigan State,2000,1,21
Donnell Harvey,New York Knicks,Florida,2000,1,22
DeShawn Stevenson,Utah Jazz,Washington Union,2000,1,23
Dalibor Bagaric,Chicago Bulls,KK Dubrava (Croatia),2000,1,24
Jake Tsakalidis,Phoenix Suns,A.E.K. Athens B.C. (Greece),2000,1,25
Mamadou N'diaye,Denver Nuggets,Auburn,2000,1,26
Primoz Brezec,Indiana Pacers,KK Olimpija (Slovenia),2000,1,27
Erick Barkley,Portland Trail Blazers,St. John's (NY),2000,1,28
Mark Madsen,Los Angeles Lakers,Stanford,2000,1,29
Marko Jaric,Los Angeles Clippers,Fortitudo Pallacanestro Bologna (Italy),2000,2,1
Dan Langhi,Dallas Mavericks,Vanderbilt,2000,2,2
A.J. Guyton,Chicago Bulls,Indiana,2000,2,3
Jake Voskuhl,Chicago Bulls,Connecticut,2000,2,4
Khalid El-Amin,Chicago Bulls,Connecticut,2000,2,5
Mike Smith,Washington Wizards,Louisiana-Monroe,2000,2,6
Soumaila Samake,New Jersey Nets,Cincinnati Stuff (IBL),2000,2,7
Eddie House,Miami Heat,Arizona State,2000,2,8
Eduardo Najera,Houston Rockets,Oklahoma,2000,2,9
Lavor Postell,New York Knicks,St. John's (NY),2000,2,10
Hanno Mottola,Atlanta Hawks,Utah,2000,2,11
Chris Carrawell,San Antonio Spurs,Duke,2000,2,12
Olumide Oyedeji,Seattle SuperSonics,DJK Wurzburg (Germany),2000,2,13
Michael Redd,Milwaukee Bucks,Ohio State,2000,2,14
Brian Cardinal,Detroit Pistons,Purdue,2000,2,15
Jabari Smith,Sacramento Kings,Louisiana State,2000,2,16
DeeAndre Hulett,Toronto Raptors,Las Vegas Silver Bandits (IBL),2000,2,17
Josip Sesar,Seattle SuperSonics,KK Cibona (Croatia),2000,2,18
Mark Karcher,Philadelphia 76ers,Temple,2000,2,19
Jason Hart,Milwaukee Bucks,Syracuse,2000,2,20
Kaniel Dickens,Utah Jazz,Idaho,2000,2,21
Igor Rakocevic,Minnesota Timberwolves,Red Star Belgrade (Serbia),2000,2,22
Ernest Brown,Miami Heat,Indian Hills Community College,2000,2,23
Dan McClintock,Denver Nuggets,Northern Arizona,2000,2,24
Cory Hightower,San Antonio Spurs,Indian Hills Community College,2000,2,25
Chris Porter,Golden State Warriors,Auburn,2000,2,26
Jaquay Walls,Indiana Pacers,Colorado,2000,2,27
Scoonie Penn,Atlanta Hawks,Ohio State,2000,2,28
Pete Mickeal,Dallas Mavericks,Cincinnati,2000,2,29
Elton Brand,Chicago Bulls,Duke,1999,1,1
Steve Francis,Vancouver Grizzlies,Maryland,1999,1,2
Baron Davis,Charlotte Hornets,California-Los Angeles,1999,1,3
Lamar Odom,Los Angeles Clippers,Rhode Island,1999,1,4
Jonathan Bender,Toronto Raptors,Picayune Memorial,1999,1,5
Wally Szczerbiak,Minnesota Timberwolves,Miami (OH),1999,1,6
Richard Hamilton,Washington Wizards,Connecticut,1999,1,7
Andre Miller,Cleveland Cavaliers,Utah,1999,1,8
Shawn Marion,Phoenix Suns,Nevada-Las Vegas,1999,1,9
Jason Terry,Atlanta Hawks,Arizona,1999,1,10
Trajan Langdon,Cleveland Cavaliers,Duke,1999,1,11
Aleksandar Radojevic,Toronto Raptors,Barton Community College,1999,1,12
Corey Maggette,Seattle SuperSonics,Duke,1999,1,13
William Avery,Minnesota Timberwolves,Duke,1999,1,14
Frederic Weis,New York Knicks,Limoges CSP (France),1999,1,15
Metta World Peace,Chicago Bulls,St. John's (NY),1999,1,16
Cal Bowdler,Atlanta Hawks,Old Dominion,1999,1,17
James Posey,Denver Nuggets,Xavier,1999,1,18
Quincy Lewis,Utah Jazz,Minnesota,1999,1,19
Dion Glover,Atlanta Hawks,Georgia Tech,1999,1,20
Jeff Foster,Golden State Warriors,Texas State,1999,1,21
Kenny Thomas,Houston Rockets,New Mexico,1999,1,22
Devean George,Los Angeles Lakers,Augsburg,1999,1,23
Andrei Kirilenko,Utah Jazz,PBC CSKA Moscow (Russia),1999,1,24
Tim James,Miami Heat,Miami (FL),1999,1,25
Vonteego Cummings,Indiana Pacers,Pittsburgh,1999,1,26
Jumaine Jones,Atlanta Hawks,Georgia,1999,1,27
Scott Padgett,Utah Jazz,Kentucky,1999,1,28
Leon Smith,San Antonio Spurs,Martin Luther King,1999,1,29
John Celestand,Los Angeles Lakers,Villanova,1999,2,1
Rico Hill,Los Angeles Clippers,Illinois State,1999,2,2
Michael Ruffin,Chicago Bulls,Tulsa,1999,2,3
Chris Herren,Denver Nuggets,Fresno State,1999,2,4
Evan Eschmeyer,New Jersey Nets,Northwestern,1999,2,5
Calvin Booth,Washington Wizards,Penn State,1999,2,6
Wang Zhi-zhi,Dallas Mavericks,Bayi Rockets (China),1999,2,7
Obinna Ekezie,Vancouver Grizzlies,Maryland,1999,2,8
Laron Profit,Orlando Magic,Maryland,1999,2,9
A.J. Bramlett,Cleveland Cavaliers,Arizona,1999,2,10
Gordan Giricek,Dallas Mavericks,KK Cibona (Croatia),1999,2,11
Francisco Elson,Denver Nuggets,California,1999,2,12
Louis Bullock,Minnesota Timberwolves,Michigan,1999,2,13
Lee Nailon,Charlotte Hornets,Texas Christian,1999,2,14
Tyrone Washington,Houston Rockets,Mississippi State,1999,2,15
Ryan Robertson,Sacramento Kings,Kansas,1999,2,16
J.R. Koch,New York Knicks,Iowa,1999,2,17
Todd MacCulloch,Philadelphia 76ers,Washington,1999,2,18
Galen Young,Milwaukee Bucks,North Carolina-Charlotte,1999,2,19
Lari Ketner,Chicago Bulls,Massachusetts,1999,2,20
Venson Hamilton,Houston Rockets,Nebraska,1999,2,21
Antwain Smith,Vancouver Grizzlies,Saint Paul's,1999,2,22
Roberto Bergersen,Portland Trail Blazers,Boise State,1999,2,23
Rodney Buford,Miami Heat,Creighton,1999,2,24
Melvin Levett,Detroit Pistons,Cincinnati,1999,2,25
Kris Clack,Boston Celtics,Texas,1999,2,26
Tim Young,Golden State Warriors,Stanford,1999,2,27
Manu Ginobili,San Antonio Spurs,Viola Reggio Calabria (Italy),1999,2,28
Eddie Lucas,Utah Jazz,Virginia Tech,1999,2,29
Michael Olowokandi,Los Angeles Clippers,Pacific,1998,1,1
Mike Bibby,Vancouver Grizzlies,Arizona,1998,1,2
Raef LaFrentz,Denver Nuggets,Kansas,1998,1,3
Antawn Jamison,Toronto Raptors,North Carolina,1998,1,4
Vince Carter,Golden State Warriors,North Carolina,1998,1,5
Robert Traylor,Dallas Mavericks,Michigan,1998,1,6
Jason Williams,Sacramento Kings,Florida,1998,1,7
Larry Hughes,Philadelphia 76ers,Saint Louis,1998,1,8
Dirk Nowitzki,Milwaukee Bucks,DJK Wurzburg (Germany),1998,1,9
Paul Pierce,Boston Celtics,Kansas,1998,1,10
Bonzi Wells,Detroit Pistons,Ball State,1998,1,11
Michael Doleac,Orlando Magic,Utah,1998,1,12
Keon Clark,Orlando Magic,Nevada-Las Vegas,1998,1,13
Michael Dickerson,Houston Rockets,Arizona,1998,1,14
Matt Harpring,Orlando Magic,Georgia Tech,1998,1,15
Bryce Drew,Houston Rockets,Valparaiso,1998,1,16
Rasho Nesterovic,Minnesota Timberwolves,Virtus Pallacanestro Bologna (Italy),1998,1,17
Mirsad Turkcan,Houston Rockets,Anadolu Efes S.K. (Turkey),1998,1,18
Pat Garrity,Milwaukee Bucks,Notre Dame,1998,1,19
Roshown McLeod,Atlanta Hawks,Duke,1998,1,20
Ricky Davis,Charlotte Hornets,Iowa,1998,1,21
Brian Skinner,Los Angeles Clippers,Baylor,1998,1,22
Tyronn Lue,Denver Nuggets,Nebraska,1998,1,23
Felipe Lopez,San Antonio Spurs,St. John's (NY),1998,1,24
Al Harrington,Indiana Pacers,Saint Patrick,1998,1,25
Sam Jacobson,Los Angeles Lakers,Minnesota,1998,1,26
Vladimir Stepania,Seattle SuperSonics,KK Olimpija (Slovenia),1998,1,27
Corey Benjamin,Chicago Bulls,Oregon State,1998,1,28
Nazr Mohammed,Utah Jazz,Kentucky,1998,1,29
Ansu Sesay,Dallas Mavericks,Mississippi,1998,2,1
Ruben Patterson,Los Angeles Lakers,Cincinnati,1998,2,2
Rashard Lewis,Seattle SuperSonics,Elsik,1998,2,3
Jelani McCoy,Seattle SuperSonics,California-Los Angeles,1998,2,4
Shammond Williams,Chicago Bulls,North Carolina,1998,2,5
Bruno Sundov,Dallas Mavericks,KK Split (Croatia),1998,2,6
Jerome James,Sacramento Kings,Florida A&M,1998,2,7
Casey Shaw,Philadelphia 76ers,Toledo,1998,2,8
DeMarco Johnson,New York Knicks,North Carolina-Charlotte,1998,2,9
Rafer Alston,Milwaukee Bucks,Fresno State,1998,2,10
Korleone Young,Detroit Pistons,Hargrave Military Academy,1998,2,11
Cuttino Mobley,Houston Rockets,Rhode Island,1998,2,12
Miles Simon,Orlando Magic,Arizona,1998,2,13
Jahidi White,Washington Wizards,Georgetown,1998,2,14
Sean Marks,New York Knicks,California,1998,2,15
Toby Bailey,Los Angeles Lakers,California-Los Angeles,1998,2,16
Andrae Patterson,Minnesota Timberwolves,Indiana,1998,2,17
Tyson Wheeler,Toronto Raptors,Rhode Island,1998,2,18
Ryan Stack,Cleveland Cavaliers,South Carolina,1998,2,19
Cory Carr,Atlanta Hawks,Texas Tech,1998,2,20
Andrew Betts,Charlotte Hornets,Long Beach State,1998,2,21
Corey Brewer,Miami Heat,Oklahoma,1998,2,22
Derrick Dial,San Antonio Spurs,Eastern Michigan,1998,2,23
Greg Buckner,Dallas Mavericks,Clemson,1998,2,24
Tremaine Fowlkes,Denver Nuggets,Fresno State,1998,2,25
Ryan Bowen,Denver Nuggets,Iowa,1998,2,26
J.R. Henderson,Vancouver Grizzlies,California-Los Angeles,1998,2,27
Torraye Braggs,Utah Jazz,Xavier,1998,2,28
Maceo Baston,Chicago Bulls,Michigan,1998,2,29
Tim Duncan,San Antonio Spurs,Wake Forest,1997,1,1
Keith Van Horn,Philadelphia 76ers,Utah,1997,1,2
Chauncey Billups,Boston Celtics,Colorado,1997,1,3
Antonio Daniels,Vancouver Grizzlies,Bowling Green,1997,1,4
Tony Battie,Denver Nuggets,Texas Tech,1997,1,5
Ron Mercer,Boston Celtics,Kentucky,1997,1,6
Tim Thomas,New Jersey Nets,Villanova,1997,1,7
Adonal Foyle,Golden State Warriors,Colgate,1997,1,8
Tracy McGrady,Toronto Raptors,Mount Zion Christian Academy,1997,1,9
Danny Fortson,Milwaukee Bucks,Cincinnati,1997,1,10
Tariq Abdul-Wahad,Sacramento Kings,San Jose State,1997,1,11
Austin Croshere,Indiana Pacers,Providence,1997,1,12
Derek Anderson,Cleveland Cavaliers,Kentucky,1997,1,13
Maurice Taylor,Los Angeles Clippers,Michigan,1997,1,14
Kelvin Cato,Dallas Mavericks,Iowa State,1997,1,15
Brevin Knight,Cleveland Cavaliers,Stanford,1997,1,16
Johnny Taylor,Orlando Magic,Tennessee-Chattanooga,1997,1,17
Chris Anstey,Portland Trail Blazers,South East Melbourne Magic (Australia),1997,1,18
Scot Pollard,Detroit Pistons,Kansas,1997,1,19
Paul Grant,Minnesota Timberwolves,Wisconsin,1997,1,20
Anthony Parker,New Jersey Nets,Bradley,1997,1,21
Ed Gray,Atlanta Hawks,California,1997,1,22
Bobby Jackson,Seattle SuperSonics,Minnesota,1997,1,23
Rodrick Rhodes,Houston Rockets,Southern California,1997,1,24
John Thomas,New York Knicks,Minnesota,1997,1,25
Charles Smith,Miami Heat,New Mexico,1997,1,26
Jacque Vaughn,Utah Jazz,Kansas,1997,1,27
Keith Booth,Chicago Bulls,Maryland,1997,1,28
Serge Zwikker,Houston Rockets,North Carolina,1997,2,1
Mark Sanford,Miami Heat,Washington,1997,2,2
Charles O'Bannon,Detroit Pistons,California-Los Angeles,1997,2,3
James Cotton,Denver Nuggets,Long Beach State,1997,2,4
Marko Milic,Philadelphia 76ers,KK Olimpija (Slovenia),1997,2,5
Bubba Wells,Dallas Mavericks,Austin Peay,1997,2,6
Kebu Stewart,Philadelphia 76ers,Cal State-Bakersfield,1997,2,7
James Collins,Philadelphia 76ers,Florida State,1997,2,8
Marc Jackson,Golden State Warriors,Temple,1997,2,9
Jerald Honeycutt,Milwaukee Bucks,Tulane,1997,2,10
Anthony Johnson,Sacramento Kings,College of Charleston,1997,2,11
Eddie Elisma,Seattle SuperSonics,Georgia Tech,1997,2,12
Jason Lawson,Denver Nuggets,Villanova,1997,2,13
Stephen Jackson,Phoenix Suns,Butler Community College,1997,2,14
Gordon Malone,Minnesota Timberwolves,West Virginia,1997,2,15
Cedric Henderson,Cleveland Cavaliers,Memphis,1997,2,16
God Shammgod,Washington Wizards,Providence,1997,2,17
Eric Washington,Orlando Magic,Alabama,1997,2,18
Alvin Williams,Portland Trail Blazers,Villanova,1997,2,19
Predrag Drobnjak,Washington Wizards,KK Partizan (Serbia),1997,2,20
Alain Digbeau,Atlanta Hawks,ASVEL Basket (France),1997,2,21
Chris Crawford,Atlanta Hawks,Marquette,1997,2,22
DeJuan Wheat,Los Angeles Lakers,Louisville,1997,2,23
C.J. Bruton,Vancouver Grizzlies,Indian Hills Community College,1997,2,24
Paul Rogers,Los Angeles Lakers,Gonzaga,1997,2,25
Mark Blount,Seattle SuperSonics,Pittsburgh,1997,2,26
Ben Pepper,Boston Celtics,Newcastle Falcons (Australia),1997,2,27
Nate Erdmann,Utah Jazz,Oklahoma,1997,2,28
Roberto Duenas,Chicago Bulls,FC Barcelona Basquet (Spain),1997,2,29
Allen Iverson,Philadelphia 76ers,Georgetown,1996,1,1
Marcus Camby,Toronto Raptors,Massachusetts,1996,1,2
Shareef Abdur-Rahim,Vancouver Grizzlies,California,1996,1,3
Stephon Marbury,Milwaukee Bucks,Georgia Tech,1996,1,4
Ray Allen,Minnesota Timberwolves,Connecticut,1996,1,5
Antoine Walker,Boston Celtics,Kentucky,1996,1,6
Lorenzen Wright,Los Angeles Clippers,Memphis,1996,1,7
Kerry Kittles,New Jersey Nets,Villanova,1996,1,8
Samaki Walker,Dallas Mavericks,Louisville,1996,1,9
Erick Dampier,Indiana Pacers,Mississippi State,1996,1,10
Todd Fuller,Golden State Warriors,North Carolina State,1996,1,11
Vitaly Potapenko,Cleveland Cavaliers,Wright State,1996,1,12
Kobe Bryant,Charlotte Hornets,Lower Merion,1996,1,13
Peja Stojakovic,Sacramento Kings,P.A.O.K. B.C. (Greece),1996,1,14
Steve Nash,Phoenix Suns,Santa Clara,1996,1,15
Tony Delk,Charlotte Hornets,Kentucky,1996,1,16
Jermaine O'Neal,Portland Trail Blazers,Eau Claire,1996,1,17
John Wallace,New York Knicks,Syracuse,1996,1,18
Walter McCarty,New York Knicks,Kentucky,1996,1,19
Zydrunas Ilgauskas,Cleveland Cavaliers,LSU-Atletas (Lithuania),1996,1,20
Dontae' Jones,New York Knicks,Mississippi State,1996,1,21
Roy Rogers,Vancouver Grizzlies,Alabama,1996,1,22
Efthimios Rentzias,Denver Nuggets,P.A.O.K. B.C. (Greece),1996,1,23
Derek Fisher,Los Angeles Lakers,Arkansas-Little Rock,1996,1,24
Martin Muursepp,Utah Jazz,BC Kalev/Cramo (Estonia),1996,1,25
Jerome Williams,Detroit Pistons,Georgetown,1996,1,26
Brian Evans,Orlando Magic,Indiana,1996,1,27
Priest Lauderdale,Atlanta Hawks,Peristeri B.C. (Greece),1996,1,28
Travis Knight,Chicago Bulls,Connecticut,1996,1,29
Othella Harrington,Houston Rockets,Georgetown,1996,2,1
Mark Hendrickson,Philadelphia 76ers,Washington State,1996,2,2
Ryan Minor,Philadelphia 76ers,Oklahoma,1996,2,3
Moochie Norris,Milwaukee Bucks,West Florida,1996,2,4
Shawn Harvey,Dallas Mavericks,West Virginia State,1996,2,5
Joseph Blair,Seattle SuperSonics,Arizona,1996,2,6
Doron Sheffer,Los Angeles Clippers,Connecticut,1996,2,7
Jeff McInnis,Denver Nuggets,North Carolina,1996,2,8
Steve Hamer,Boston Celtics,Tennessee,1996,2,9
Russ Millard,Phoenix Suns,Iowa,1996,2,10
Marcus Mann,Golden State Warriors,Mississippi Valley State,1996,2,11
Jason Sasser,Sacramento Kings,Texas Tech,1996,2,12
Randy Livingston,Houston Rockets,Louisiana State,1996,2,13
Ben Davis,Phoenix Suns,Arizona,1996,2,14
Malik Rose,Charlotte Hornets,Drexel,1996,2,15
Joe Vogel,Seattle SuperSonics,Colorado State,1996,2,16
Marcus Brown,Portland Trail Blazers,Murray State,1996,2,17
Ron Riley,Seattle SuperSonics,Arizona State,1996,2,18
Jamie Feick,Philadelphia 76ers,Michigan State,1996,2,19
Amal McCaskill,Orlando Magic,Marquette,1996,2,20
Terrell Bell,Houston Rockets,Georgia,1996,2,21
Chris Robinson,Vancouver Grizzlies,Western Kentucky,1996,2,22
Mark Pope,Indiana Pacers,Kentucky,1996,2,23
Jeff Nordgaard,Milwaukee Bucks,Wisconsin-Green Bay,1996,2,24
Shandon Anderson,Utah Jazz,Georgia,1996,2,25
Ronnie Henderson,Washington Bullets,Louisiana State,1996,2,26
Reggie Geary,Cleveland Cavaliers,Arizona,1996,2,27
Drew Barry,Seattle SuperSonics,Georgia Tech,1996,2,28
Darnell Robinson,Dallas Mavericks,Arkansas,1996,2,29
Joe Smith,Golden State Warriors,Maryland,1995,1,1
Antonio McDyess,Los Angeles Clippers,Alabama,1995,1,2
Jerry Stackhouse,Philadelphia 76ers,North Carolina,1995,1,3
Rasheed Wallace,Washington Bullets,North Carolina,1995,1,4
Kevin Garnett,Minnesota Timberwolves,Farragut Career Academy,1995,1,5
Bryant Reeves,Vancouver Grizzlies,Oklahoma State,1995,1,6
Damon Stoudamire,Toronto Raptors,Arizona,1995,1,7
Shawn Respert,Portland Trail Blazers,Michigan State,1995,1,8
Ed O'Bannon,New Jersey Nets,California-Los Angeles,1995,1,9
Kurt Thomas,Miami Heat,Texas Christian,1995,1,10
Gary Trent,Milwaukee Bucks,Ohio,1995,1,11
Cherokee Parks,Dallas Mavericks,Duke,1995,1,12
Corliss Williamson,Sacramento Kings,Arkansas,1995,1,13
Eric Williams,Boston Celtics,Providence,1995,1,14
Brent Barry,Denver Nuggets,Oregon State,1995,1,15
Alan Henderson,Atlanta Hawks,Indiana,1995,1,16
Bob Sura,Cleveland Cavaliers,Florida State,1995,1,17
Theo Ratliff,Detroit Pistons,Wyoming,1995,1,18
Randolph Childress,Detroit Pistons,Wake Forest,1995,1,19
Jason Caffey,Chicago Bulls,Alabama,1995,1,20
Michael Finley,Phoenix Suns,Wisconsin,1995,1,21
George Zidek,Charlotte Hornets,California-Los Angeles,1995,1,22
Travis Best,Indiana Pacers,Georgia Tech,1995,1,23
Loren Meyer,Dallas Mavericks,Iowa State,1995,1,24
David Vaughn,Orlando Magic,Memphis,1995,1,25
Sherell Ford,Seattle SuperSonics,Illinois-Chicago,1995,1,26
Mario Bennett,Phoenix Suns,Arizona State,1995,1,27
Greg Ostertag,Utah Jazz,Kansas,1995,1,28
Cory Alexander,San Antonio Spurs,Virginia,1995,1,29
Lou Roe,Detroit Pistons,Massachusetts,1995,2,1
Dragan Tarlac,Chicago Bulls,Olympiacos B.C. (Greece),1995,2,2
Terrence Rencher,Washington Bullets,Texas,1995,2,3
Junior Burrough,Boston Celtics,Virginia,1995,2,4
Andrew DeClercq,Golden State Warriors,Florida,1995,2,5
Jimmy King,Toronto Raptors,Michigan,1995,2,6
Lawrence Moten,Vancouver Grizzlies,Syracuse,1995,2,7
Frankie King,Los Angeles Lakers,Western Carolina,1995,2,8
Rashard Griffith,Milwaukee Bucks,Wisconsin,1995,2,9
Donny Marshall,Cleveland Cavaliers,Connecticut,1995,2,10
Dwayne Whitfield,Golden State Warriors,Jackson State,1995,2,11
Erik Meek,Houston Rockets,Duke,1995,2,12
Donnie Boyce,Atlanta Hawks,Colorado,1995,2,13
Eric Snow,Milwaukee Bucks,Michigan State,1995,2,14
Anthony Pelle,Denver Nuggets,Fresno State,1995,2,15
Troy Brown,Atlanta Hawks,Providence,1995,2,16
George Banks,Miami Heat,Texas-El Paso,1995,2,17
Tyus Edney,Sacramento Kings,California-Los Angeles,1995,2,18
Mark Davis,Minnesota Timberwolves,Texas Tech,1995,2,19
Jerome Allen,Minnesota Timberwolves,Pennsylvania,1995,2,20
Martin Lewis,Golden State Warriors,Seward County Community College,1995,2,21
Dejan Bodiroga,Sacramento Kings,Olimpia Milano (Italy),1995,2,22
Fred Hoiberg,Indiana Pacers,Iowa State,1995,2,23
Constantin Popa,Los Angeles Clippers,Miami (FL),1995,2,24
Aurelijius Zukauskas,Seattle SuperSonics,BC Neptunas (Lithuania),1995,2,25
Michael McDonald,Golden State Warriors,New Orleans,1995,2,26
Chris Carr,Phoenix Suns,Southern Illinois,1995,2,27
Cuonzo Martin,Atlanta Hawks,Purdue,1995,2,28
Don Reid,Detroit Pistons,Georgetown,1995,2,29
Glenn Robinson,Milwaukee Bucks,Purdue,1994,1,1
Jason Kidd,Dallas Mavericks,California,1994,1,2
Grant Hill,Detroit Pistons,Duke,1994,1,3
Donyell Marshall,Minnesota Timberwolves,Connecticut,1994,1,4
Juwan Howard,Washington Bullets,Michigan,1994,1,5
Sharone Wright,Philadelphia 76ers,Clemson,1994,1,6
Lamond Murray,Los Angeles Clippers,California,1994,1,7
Brian Grant,Sacramento Kings,Xavier,1994,1,8
Eric Montross,Boston Celtics,North Carolina,1994,1,9
Eddie Jones,Los Angeles Lakers,Temple,1994,1,10
Carlos Rogers,Seattle SuperSonics,Tennessee State,1994,1,11
Khalid Reeves,Miami Heat,Arizona,1994,1,12
Jalen Rose,Denver Nuggets,Michigan,1994,1,13
Yinka Dare,New Jersey Nets,George Washington,1994,1,14
Eric Piatkowski,Indiana Pacers,Nebraska,1994,1,15
Clifford Rozier,Golden State Warriors,Louisville,1994,1,16
Aaron McKie,Portland Trail Blazers,Temple,1994,1,17
Eric Mobley,Milwaukee Bucks,Pittsburgh,1994,1,18
Tony Dumas,Dallas Mavericks,Missouri-Kansas City,1994,1,19
B.J. Tyler,Philadelphia 76ers,Texas,1994,1,20
Dickey Simpkins,Chicago Bulls,Providence,1994,1,21
Bill Curley,San Antonio Spurs,Boston College,1994,1,22
Wesley Person,Phoenix Suns,Auburn,1994,1,23
Monty Williams,New York Knicks,Notre Dame,1994,1,24
Greg Minor,Los Angeles Clippers,Louisville,1994,1,25
Charlie Ward,New York Knicks,Florida State,1994,1,26
Brooks Thompson,Orlando Magic,Oklahoma State,1994,1,27
Deon Thomas,Dallas Mavericks,Illinois,1994,2,1
Antonio Lang,Phoenix Suns,Duke,1994,2,2
Howard Eisley,Minnesota Timberwolves,Boston College,1994,2,3
Rodney Dent,Orlando Magic,Kentucky,1994,2,4
Jim McIlvaine,Washington Bullets,Marquette,1994,2,5
Derrick Alston,Philadelphia 76ers,Duquesne,1994,2,6
Gaylon Nickerson,Atlanta Hawks,Oklahoma State,1994,2,7
Michael Smith,Sacramento Kings,Providence,1994,2,8
Andrei Fetisov,Boston Celtics,CB Valladolid (Spain),1994,2,9
Dontonio Wingfield,Seattle SuperSonics,Cincinnati,1994,2,10
Darrin Hancock,Charlotte Hornets,Kansas,1994,2,11
Anthony Miller,Golden State Warriors,Michigan State,1994,2,12
Jeff Webster,Miami Heat,Oklahoma,1994,2,13
William Njoku,Indiana Pacers,Saint Mary's (CAN),1994,2,14
Gary Collier,Cleveland Cavaliers,Tulsa,1994,2,15
Shawnelle Scott,Portland Trail Blazers,St. John's (NY),1994,2,16
Damon Bailey,Indiana Pacers,Indiana,1994,2,17
Dwayne Morton,Golden State Warriors,Louisville,1994,2,18
